,name,mileage,year,gearbox,transmission,horsepower,fuel,price
569,Audi Q5 S-line,210 000 km,2010,Automatique,Intégrale,13 cv,Essence,52900.0
570,Mercedes-Benz GLC Coupé AMG,14 500 km,2025,Automatique,Intégrale,11 cv,Hybride,288000.0
571,Volkswagen Golf 7 Allstar,100 000 km,2017,Automatique,Traction,6 cv,Essence,63000.0
572,KIA Sportage,131 000 km,2019,Automatique,Traction,8 cv,Essence,76000.0
573,MG 5 Confort Plus,115 000 km,2022,Manuelle,Traction,6 cv,Essence,49000.0
574,GWM Haval Jolion,43 000 km,2023,Automatique,Traction,9 cv,Essence,75000.0
575,KIA Sportage GT-Line,133 000 km,2020,Automatique,Intégrale,11 cv,Essence,79000.0
576,BMW X1 Business Line,137 000 km,2019,Automatique,Traction,7 cv,Essence,79000.0
577,BMW X3 Pack M Pro,93 000 km,2022,Automatique,Intégrale,10 cv,Hybride,160000.0
578,GWM Haval Jolion,4 000 km,2025,Automatique,Traction,9 cv,Essence,90000.0
579,MG ZS Luxury,8 000 km,2025,Automatique,Traction,7 cv,Essence,79500.0
580,GWM Haval Jolion,26 000 km,2024,Automatique,Traction,9 cv,Essence,85900.0
581,Ford Ecosport Titanium,102 000 km,2022,Manuelle,Traction,7 cv,Essence,50000.0
582,BMW Série 3 Sport Line,250 000 km,2014,Automatique,Propulsion,7 cv,Essence,51000.0
583,Suzuki Dzire GL,83 000 km,2019,Manuelle,Traction,5 cv,Essence,36500.0
584,Seat Arona Style,150 000 km,2020,Automatique,Traction,6 cv,Essence,57000.0
585,Hyundai Grand i10 Populaire,73 000 km,2021,Manuelle,Traction,4 cv,Essence,39000.0
586,Volkswagen Golf 8 R-Line,57 011 km,2024,Automatique,Traction,8 cv,Essence,110000.0
587,Mercedes-Benz CLA Progressive,72 000 km,2022,Automatique,Traction,8 cv,Hybride,123000.0
588,Land Rover Freelander,203 000 km,2009,Automatique,Intégrale,11 cv,Diesel,55000.0
589,KIA XCeed toute option,34 000 km,2022,Automatique,Traction,9 cv,Essence,93000.0
590,Audi A3 Sportback S-Line Plus,102 000 km,2024,Automatique,Traction,8 cv,Hybride,105000.0
591,Mercedes-Benz Classe C Exclusive,196 000 km,2017,Automatique,Propulsion,8 cv,Essence,79000.0
592,Mercedes-Benz GLE Coupé AMG,17 000 km,2025,Automatique,Intégrale,15 cv,Hybride,328000.0
593,BMW X5 Pack M,152 000 km,2015,Automatique,Intégrale,13 cv,Diesel,98000.0
594,Mercedes-Benz Classe E Avantgarde,75 000 km,2022,Automatique,Intégrale,12 cv,Hybride,159000.0
595,Jeep Wrangler Unlimited,105 000 km,2022,Automatique,Intégrale,17 cv,Hybride,179000.0
596,DS 7 Crossback Grand Chic,153 000 km,2020,Automatique,Traction,10 cv,Essence,59000.0
597,Mercedes-Benz Classe A Progressive,153 000 km,2014,Automatique,Traction,6 cv,Essence,54000.0
598,Mercedes-Benz GLA AMG,71 000 km,2021,Automatique,Traction,8 cv,Hybride,129000.0
599,Land Rover Range Rover Sport,131 000 km,2016,Automatique,Intégrale,24 cv,Essence,138000.0
600,GWM Haval H6 Luxury,190 000 km,2019,Automatique,Traction,9 cv,Essence,58000.0
601,Audi A5 Sportback S-Line,93 000 km,2021,Automatique,Traction,8 cv,Essence,128000.0
602,Jaguar X-Type Prestige,219 000 km,2008,Manuelle,Traction,7 cv,Diesel,27000.0
603,BMW Série 4 Gran Coupé Luxury Line,85 000 km,2020,Automatique,Propulsion,7 cv,Essence,85000.0
604,Suzuki Jimny 5 portes GLX,19 000 km,2024,Automatique,Intégrale,5 cv,Essence,115000.0
605,GWM Haval H6 Luxury,90 000 km,2019,Automatique,Traction,9 cv,Essence,69500.0
606,BMW Série 5 Pack Sport M,33 000 km,2023,Automatique,Intégrale,4 cv,Hybride,
607,Hyundai i20 GLS,61 500 km,2019,Manuelle,Traction,5 cv,Essence,43500.0
608,Hyundai i30 Fastback,90 000 km,2023,Automatique,Traction,7 cv,Essence,68000.0
609,Hyundai Bayon Top Grade,30 000 km,2024,Manuelle,Traction,5 cv,Essence,72000.0
610,Nissan Juke Tekna,94 000 km,2022,Automatique,Traction,6 cv,Essence,66000.0
611,BYD King,20 000 km,2025,Automatique,Traction,5 cv,Hybride,80000.0
612,Ssangyong Tivoli Classic,74 000 km,2016,Manuelle,Traction,7 cv,Essence,52000.0
613,KIA Rio 5p GT-Line,90 000 km,2021,Manuelle,Traction,5 cv,Essence,59000.0
614,Jeep Renegade Altitude- Version US,74 000 km,2023,Automatique,Intégrale,8 cv,Essence,
615,Peugeot Landtrek Double Cabine Business,58 000 km,2021,Manuelle,Intégrale,6 cv,Diesel,68000.0
616,Volkswagen Golf 7 R-Line,159 000 km,2019,Automatique,Traction,6 cv,Essence,75000.0
617,KIA Rio 5p SX,48 350 km,2021,Manuelle,Traction,5 cv,Essence,54500.0
618,Toyota C-HR,100 000 km,2022,Automatique,Traction,6 cv,Essence,73000.0
619,Toyota C-HR,150 000 km,2018,Automatique,Traction,6 cv,Essence,66000.0
620,Suzuki Swift GL,80 000 km,2024,Automatique,Traction,5 cv,Essence,44500.0
621,Peugeot 2008 Allure Toit Cielo,98 000 km,2017,Manuelle,Traction,5 cv,Essence,48500.0
622,Nissan Qashqai Tekna,67 000 km,2015,Manuelle,Traction,7 cv,Essence,59500.0
623,Mercedes-Benz Classe C,158 000 km,2010,Manuelle,Intégrale,7 cv,Essence,69000.0
624,Mercedes-Benz Classe C AMG,50 000 km,2023,Automatique,Propulsion,9 cv,Hybride,165000.0
625,Mercedes-Benz Classe C coupé AMG,98 000 km,2016,Automatique,Traction,9 cv,Essence,109000.0
626,Mercedes-Benz Classe C coupé Sport,160 000 km,2012,Automatique,Propulsion,9 cv,Essence,57000.0
627,Mercedes-Benz Classe E Avantgarde,88 000 km,2014,Automatique,Propulsion,9 cv,Essence,85800.0
628,Mercedes-Benz Classe E Avantgarde,88 000 km,2014,Automatique,Propulsion,9 cv,Essence,83500.0
629,Mercedes-Benz Classe C Classic Edition C,22 000 km,2012,Manuelle,Traction,9 cv,Essence,76000.0
630,Volkswagen Polo Populaire,238 000 km,2021,Manuelle,Traction,4 cv,Essence,38000.0
631,Cupra Leon Sport,73 000 km,2021,Automatique,Traction,8 cv,Hybride,117000.0
632,Opel Combo Cargo Confort L2H1 1000 kg,40 000 km,2021,Manuelle,Traction,5 cv,Diesel,47000.0
633,Mercedes-Benz Classe E coupé Avantgarde,153 000 km,2009,Automatique,Propulsion,19 cv,Essence,69000.0
634,Mitsubishi L200 Sportero Double Cabine,62 000 km,2022,Automatique,Intégrale,8 cv,Diesel,135000.0
635,Opel Mokka GS,68 000 km,2022,Automatique,Traction,7 cv,Essence,72000.0
636,MG GT Luxury,60 000 km,2023,Automatique,Traction,7 cv,Essence,72000.0
637,Mercedes-Benz GLA AMG,62 000 km,2021,Automatique,Traction,8 cv,Hybride,130000.0
638,Volkswagen Caddy,120 000 km,2022,Manuelle,Traction,5 cv,Diesel,65000.0
639,Land Rover Range Rover Evoque SE,118 000 km,2020,Automatique,Intégrale,8 cv,Hybride,137500.0
640,Mercedes-Benz Classe E Avantgarde,197 000 km,2018,Automatique,Propulsion,9 cv,Essence,88000.0
641,Citroën C4 Dynamique Plus,168 000 km,2013,Manuelle,Traction,6 cv,Essence,29500.0
642,Seat Ateca Xperience,98 000 km,2023,Automatique,Traction,8 cv,Essence,93000.0
643,Mercedes-Benz Classe C AMG +,90 000 km,2023,Automatique,Propulsion,11 cv,Hybride,155000.0
644,Mercedes-Benz Classe E,330 000 km,2005,Automatique,Traction,10 cv,Essence,26000.0
645,Land Rover Range Rover Velar S,125 000 km,2018,Automatique,Intégrale,15 cv,Diesel,180000.0
646,Porsche Cayenne Coupé E-Hybrid,120 000 km,2021,Automatique,Intégrale,22 cv,Hybride,260000.0
647,Land Rover Range Rover Sport,250 000 km,2016,Automatique,Intégrale,19 cv,Diesel,135000.0
648,Land Rover Range Rover Evoque Dynamic,68 000 km,2019,Automatique,Intégrale,10 cv,Diesel,145000.0
649,Audi Q3 Sportback S-Line,87 000 km,2021,Automatique,Propulsion,8 cv,Essence,138000.0
650,Mercedes-Benz EQE Berline AMG,35 000 km,2023,Automatique,Propulsion,8 cv,Electrique,185000.0
651,Volkswagen Tiguan R-Line,97 000 km,2021,Automatique,Traction,8 cv,Hybride,119000.0
652,BMW Série 4 Coupé Pack M Sport,78 000 km,2021,Automatique,Propulsion,10 cv,Essence,175000.0
653,Hyundai Grand i10 High Grade,130 000 km,2020,Automatique,Traction,5 cv,Essence,42000.0
654,Skoda Fabia Drive,145 000 km,2017,Manuelle,Traction,5 cv,Essence,43000.0
655,Smart ForFour,12 000 km,2021,Automatique,Propulsion,4 cv,Electrique,45000.0
656,Renault Clio Life Plus,130 000 km,2021,Manuelle,Traction,5 cv,Essence,39500.0
657,BMW X3 Pack M,120 000 km,2021,Automatique,Intégrale,10 cv,Hybride,165000.0
658,Seat Ibiza Reference,108 000 km,2023,Automatique,Traction,6 cv,Essence,53000.0
659,Skoda Octavia Ambition Edition Spéciale,16 000 km,2023,Automatique,Traction,8 cv,Essence,126000.0
660,GWM Haval H6,90 000 km,2022,Automatique,Traction,8 cv,Essence,93000.0
661,Mercedes-Benz CLA,70 000 km,2021,Automatique,Intégrale,8 cv,Hybride,115000.0
662,BMW X5 Pack M,210 000 km,2015,Automatique,Intégrale,13 cv,Diesel,110000.0
663,Mercedes-Benz GLA,135 000 km,2021,Automatique,Traction,8 cv,Hybride,128000.0
664,Changan New Star Van,14 000 km,2024,Manuelle,Propulsion,6 cv,Essence,34000.0
665,MG ZS Luxe,81 000 km,2020,Automatique,Traction,7 cv,Essence,61000.0
666,Ford Focus Titanium,240 000 km,2018,Manuelle,Traction,6 cv,Essence,37000.0
667,Mercedes-Benz Classe A AMG,67 000 km,2018,Automatique,Propulsion,7 cv,Essence,95000.0
668,Cupra Formentor Sport,92 000 km,2022,Automatique,Traction,8 cv,Hybride,105000.0
669,Mercedes-Benz GLE Coupé,60 000 km,2024,Automatique,Intégrale,15 cv,Hybride,330000.0
670,Hyundai Tucson High Grade,41 000 km,2022,Automatique,Traction,10 cv,Hybride,110000.0
671,Ssangyong Korando Dune,94 000 km,2021,Automatique,Intégrale,8 cv,Diesel,85000.0
672,Renault Megane,220 000 km,2020,Automatique,Traction,7 cv,Essence,45000.0
673,Mercedes-Benz 220 Avantgarde,90 000 km,1974,Manuelle,Traction,8 cv,Diesel,75000.0
674,Land Rover Range Rover Sport,230 000 km,2014,Automatique,Intégrale,19 cv,Diesel,118000.0
675,Mercedes-Benz CLA AMG,47 000 km,2023,Automatique,Intégrale,8 cv,Hybride,130000.0
676,Volkswagen Tiguan R-Line,88 000 km,2022,Automatique,Traction,8 cv,Hybride,118000.0
677,Mercedes-Benz CLA AMG,93 000 km,2015,Automatique,Traction,7 cv,Essence,67000.0
678,Skoda Fabia Design,98 000 km,2021,Manuelle,Traction,4 cv,Essence,43000.0
679,BMW Série 4 Gran Coupé Luxury Line,120 000 km,2020,Automatique,Propulsion,7 cv,Essence,80500.0
680,Porsche Boxster S 981,70 000 km,2014,Automatique,Propulsion,21 cv,Essence,190000.0
681,KIA Rio Berline,86 000 km,2021,Manuelle,Traction,6 cv,Essence,53000.0
682,GWM Haval H6,86 000 km,2022,Automatique,Traction,8 cv,Essence,89000.0
683,Mercedes-Benz CLA AMG,9 000 km,2024,Automatique,Propulsion,9 cv,Essence,170000.0
684,BMW Série 5 530 E XDRIVE PACK M PRO,145 000 km,2022,Automatique,Intégrale,11 cv,Hybride,145000.0
685,Skoda Octavia Active,220 000 km,2011,Manuelle,Propulsion,5 cv,Diesel,35000.0
686,Ford Focus sedan Trend Sport,109 000 km,2016,Manuelle,Traction,6 cv,Essence,41500.0
687,Renault Clio Campus,210 000 km,2010,Manuelle,Traction,4 cv,Essence,24000.0
688,Seat Leon SC,123 000 km,2018,Manuelle,Traction,6 cv,Essence,50900.0
689,KIA Rio 5p SX,82 000 km,2020,Manuelle,Traction,5 cv,Essence,52000.0
690,Mercedes-Benz Classe E Exclusive Line Premium Plus,5 700 km,2024,Automatique,Intégrale,11 cv,Hybride,258000.0
691,Mercedes-Benz Classe E AMG Premium Plus,40 000 km,2025,Automatique,Propulsion,11 cv,Hybride,258000.0
692,Volkswagen Amarok Highline Plus Double Cabine,175 000 km,2021,Automatique,Intégrale,7 cv,Diesel,125000.0
693,Citroën C5,472 000 km,2009,Manuelle,Traction,6 cv,Diesel,27000.0
694,Mazda 2 Sedan,127 000 km,2015,Manuelle,Traction,6 cv,Essence,37000.0
695,Audi A5 Coupé S-Line,229 000 km,2011,Automatique,Traction,13 cv,Essence,41500.0
696,Volkswagen Golf 8,82 000 km,2021,Automatique,Traction,8 cv,Hybride,85000.0
697,MG One Luxury+,22 000 km,2024,Automatique,Traction,10 cv,Essence,82000.0
698,Chevrolet Groove Premier,9 200 km,2025,Automatique,Traction,6 cv,Essence,75000.0
699,Mahindra XUV 300 W6,123 100 km,2024,Manuelle,Traction,6 cv,Essence,41000.0
700,Mercedes-Benz Classe S AMG,149 000 km,2008,Automatique,Intégrale,15 cv,Diesel,85000.0
701,Citroën C-Elysée Exclusive,205 000 km,2013,Manuelle,Traction,5 cv,Essence,20500.0
702,Volkswagen Golf 8 R-Line,31 000 km,2023,Automatique,Traction,5 cv,Essence,105000.0
703,Volvo XC40 Ultimate Dark,31 000 km,2024,Automatique,Traction,9 cv,Hybride,175000.0
704,Citroën Berlingo Van,166 700 km,2023,Manuelle,Traction,5 cv,Diesel,48000.0
705,Volkswagen Golf 8 Style,81 000 km,2022,Automatique,Traction,8 cv,Hybride,85000.0
706,BMW Série 5 Business Line Plus,109 248 km,2021,Automatique,Propulsion,10 cv,Essence,118000.0
707,Honda Accord,52 301 km,2021,Automatique,Traction,10 cv,Essence,98000.0
708,Jeep Renegade Limited,61 000 km,2024,Automatique,Traction,8 cv,Essence,85000.0
709,KIA Sportage GT-Line,46 000 km,2023,Automatique,Intégrale,8 cv,Hybride,130000.0
710,Mercedes-Benz CLE Coupé AMG +,10 000 km,2025,Automatique,Propulsion,11 cv,Hybride,255000.0
711,Jaguar E-Pace R-Dynamic S,72 000 km,2024,Automatique,Intégrale,9 cv,Hybride,
712,Honda Civic RS,257 000 km,2018,Automatique,Traction,10 cv,Essence,55000.0
713,BMW X4 xLine,53 000 km,2022,Automatique,Intégrale,14 cv,Hybride,199000.0
714,Peugeot 3008 Active,117 000 km,2017,Automatique,Traction,9 cv,Essence,58000.0
715,Hyundai i20 High Grade,28 000 km,2024,Automatique,Traction,5 cv,Essence,68000.0
716,Hyundai i20 High Grade,55 000 km,2022,Automatique,Traction,5 cv,Essence,62500.0
717,Hyundai Tucson High Grade,96 900 km,2022,Automatique,Intégrale,10 cv,Essence,86000.0
718,Citroën C4 X Plus,18 000 km,2025,Automatique,Traction,7 cv,Essence,73000.0
719,Ssangyong Tivoli Confort Plus,67 000 km,2016,Automatique,Traction,8 cv,Essence,55700.0
720,Mercedes-Benz GLC Coupé,161 000 km,2017,Automatique,Intégrale,11 cv,Diesel,139000.0
721,Mercedes-Benz GLK,260 000 km,2011,Automatique,Intégrale,10 cv,Diesel,64000.0
722,KIA Rio 5p SX,96 000 km,2020,Manuelle,Traction,5 cv,Essence,51400.0
723,KIA Sportage GT-Line,132 000 km,2019,Automatique,Intégrale,11 cv,Essence,83000.0
724,BMW X4 Confort xLine,111 000 km,2017,Automatique,Intégrale,10 cv,Diesel,116000.0
725,Honda CR-V,167 000 km,2020,Automatique,Intégrale,11 cv,Essence,75000.0
726,KIA Sportage EX,45 000 km,2022,Automatique,Traction,10 cv,Essence,95000.0
727,Hyundai i30 Fastback,16 000 km,2024,Automatique,Traction,7 cv,Essence,85000.0
728,Mercedes-Benz GLE Coupé AMG Premium Plus,97 000 km,2021,Automatique,Intégrale,12 cv,Hybride,238000.0
729,Mercedes-Benz CLA,28 500 km,2024,Automatique,Traction,8 cv,Hybride,145000.0
730,KIA Stonic SX,33 000 km,2024,Manuelle,Traction,5 cv,Essence,69000.0
731,Audi A3 Sportback S-Line Plus,58 000 km,2021,Automatique,Intégrale,8 cv,Essence,103000.0
732,Volkswagen Golf 7 Access,113 400 km,2019,Automatique,Traction,6 cv,Essence,65000.0
733,Peugeot 307 phase 2,200 000 km,2007,Manuelle,Traction,6 cv,Essence,18000.0
734,Mercedes-Benz CLA AMG,44 000 km,2023,Automatique,Traction,8 cv,Hybride,133000.0
735,Mercedes-Benz CLA AMG,58 000 km,2022,Automatique,Traction,8 cv,Hybride,129000.0
736,Hyundai i20 GLS Plus,16 800 km,2025,Manuelle,Traction,4 cv,Essence,62000.0
737,Volkswagen Passat Design,152 000 km,2019,Manuelle,Traction,7 cv,Essence,59000.0
738,Mercedes-Benz CLA AMG,89 500 km,2020,Automatique,Traction,7 cv,Essence,97000.0
739,Hyundai Bayon,83 000 km,2022,Manuelle,Traction,5 cv,Hybride,66500.0
740,Volkswagen Golf 7 Confortline,172 000 km,2014,Manuelle,Traction,5 cv,Essence,44500.0
741,Seat Arona Référence,150 000 km,2021,Manuelle,Traction,6 cv,Essence,58000.0
742,Peugeot 3008 Allure,150 000 km,2023,Automatique,Traction,7 cv,Essence,80000.0
743,KIA Picanto GT-Line,29 000 km,2023,Automatique,Traction,4 cv,Essence,52000.0
744,Mercedes-Benz GLC Coupé,20 000 km,2023,Automatique,Intégrale,11 cv,Hybride,285000.0
745,Land Rover Range Rover Sport,146 000 km,2022,Automatique,Intégrale,4 cv,Hybride,180000.0
746,Citroën C3 Live Edition,0 km,2026,Manuelle,Traction,4 cv,Essence,48000.0
747,Opel Corsa Elegance,90 000 km,2023,Manuelle,Traction,5 cv,Essence,45000.0
748,Renault Kangoo D'origine,155 850 km,2021,Manuelle,Traction,5 cv,Diesel,65000.0
749,Toyota Hilux Simple Cabine,44 000 km,2023,Automatique,Intégrale,11 cv,Diesel,148000.0
750,Seat Ateca FR,116 000 km,2021,Automatique,Traction,8 cv,Essence,89000.0
751,Soueast DX7 DCT,110 000 km,2022,Automatique,Traction,9 cv,Essence,78000.0
752,Mercedes-Benz GLA AMG,43 000 km,2023,Automatique,Traction,8 cv,Hybride,157000.0
753,Mercedes-Benz Classe E AMG+,48 500 km,2021,Automatique,Traction,12 cv,Hybride,174000.0
754,Mercedes-Benz GLC AMG,54 000 km,2021,Automatique,Intégrale,10 cv,Hybride,183000.0
755,MG 5 Luxe,120 000 km,2021,Automatique,Traction,7 cv,Essence,55000.0
756,Citroën C3 Aircross Shine,113 000 km,2021,Automatique,Traction,6 cv,Diesel,55000.0
757,BMW X5 Pack M,190 000 km,2015,Automatique,Intégrale,13 cv,Diesel,97000.0
758,Peugeot 2008 Allure,30 000 km,2023,Automatique,Traction,7 cv,Essence,
759,Wallyscar Iris,102 000 km,2017,Manuelle,Traction,4 cv,Essence,28000.0
760,Mercedes-Benz Classe C Premium,43 000 km,2024,Automatique,Propulsion,9 cv,Hybride,233000.0
761,Mercedes-Benz GLC Coupé AMG,94 000 km,2020,Automatique,Intégrale,11 cv,Diesel,165000.0
762,GWM Haval H6,72 000 km,2022,Automatique,Traction,8 cv,Essence,82000.0
763,BMW Série 3 Confort Plus Luxury Line,145 000 km,2013,Manuelle,Propulsion,7 cv,Essence,48000.0
764,Mercedes-Benz Classe C Avantgarde,145 000 km,2010,Automatique,Traction,9 cv,Essence,47000.0
765,Ford Kuga Titanium Plus,200 000 km,2021,Automatique,Intégrale,11 cv,Essence,75000.0
766,Audi A4 Attraction,200 000 km,2013,Manuelle,Traction,7 cv,Essence,42500.0
767,MG e-HS Luxury Plus,54 000 km,2022,Automatique,Traction,8 cv,Hybride,85000.0
768,Audi A3 Sportback Ambition,154 000 km,2015,Manuelle,Traction,5 cv,Essence,42000.0
769,Renault Express Van,9 300 km,2024,Manuelle,Traction,5 cv,Diesel,46000.0
770,Mini Paceman Pack Pepper,135 000 km,2014,Automatique,Traction,7 cv,Essence,38500.0
771,MG RX5 Performance,32 000 km,2024,Automatique,Traction,10 cv,Essence,105500.0
772,Hyundai Kona Electric Occasion,48 000 km,2022,Automatique,Intégrale,6 cv,Electrique,75000.0
773,Hyundai Tucson Executive,117 213 km,2022,Automatique,Traction,10 cv,Hybride,114900.0
774,Audi A3 Sportback S-Line,33 000 km,2023,Automatique,Traction,8 cv,Hybride,120000.0
775,Honda City EX,85 000 km,2021,Automatique,Traction,6 cv,Essence,54000.0
776,BMW Série 1 Access Ecran,74 000 km,2019,Automatique,Traction,8 cv,Essence,75000.0
777,DS 3 Chic,162 000 km,2017,Manuelle,Traction,5 cv,Essence,31500.0
778,Honda Accord,115 000 km,2020,Automatique,Traction,10 cv,Essence,105000.0
779,Chevrolet Malibu Berline,140 000 km,2011,Automatique,Traction,12 cv,Essence,25500.0
780,BMW Série 2 Gran Coupé Lounge,85 000 km,2022,Automatique,Traction,8 cv,Essence,
781,Volkswagen Golf 7 Trendline,241 000 km,2013,Manuelle,Traction,5 cv,Essence,39000.0
782,BMW X2 Business Line,140 000 km,2023,Automatique,Traction,7 cv,Essence,110000.0
783,Cupra Formentor Exclusive,12 303 km,2023,Automatique,Traction,8 cv,Hybride,108000.0
784,Mercedes-Benz Classe E Exclusive,43 000 km,2022,Automatique,Propulsion,9 cv,Essence,153000.0
785,Land Rover Range Rover Evoque Prestige,270 000 km,2014,Manuelle,Intégrale,8 cv,Diesel,58000.0
786,Hyundai Grand i10 GLS,102 911 km,2023,Manuelle,Traction,5 cv,Essence,38500.0
787,Hyundai Grand i10 Sedan,111 403 km,2023,Manuelle,Traction,4 cv,Essence,38500.0
788,Hyundai Tucson Executive,56 000 km,2022,Automatique,Intégrale,10 cv,Hybride,120000.0
789,Peugeot 3008 Allure,170 000 km,2017,Automatique,Traction,9 cv,Essence,53000.0
790,Opel Crossland Edition,10 500 km,2024,Manuelle,Traction,5 cv,Essence,58500.0
791,Ssangyong XLV,84 000 km,2018,Manuelle,Traction,7 cv,Essence,74000.0
792,BMW Série 4 Gran Coupé Luxury Line,90 000 km,2020,Automatique,Propulsion,7 cv,Essence,90000.0
793,Ford Ecosport Titanium,36 000 km,2023,Manuelle,Traction,7 cv,Essence,69000.0
794,Hyundai Grand i10 High Grade,89 000 km,2021,Automatique,Traction,5 cv,Essence,44000.0
795,Hyundai i30 Fastback,70 000 km,2024,Automatique,Traction,7 cv,Essence,69000.0
796,Land Rover Range Rover Evoque Dynamic,200 000 km,2014,Manuelle,Traction,9 cv,Diesel,63500.0
797,BMW X3 Confort Plus,65 000 km,2022,Automatique,Intégrale,10 cv,Hybride,168000.0
798,KIA Sportage,160 000 km,2019,Automatique,Traction,8 cv,Essence,75000.0
799,Nissan Juke Diesel 1.5,185 000 km,2017,Manuelle,Traction,5 cv,Essence,53000.0
800,Land Rover Range Rover Velar R-Dynamic S,150 000 km,2019,Automatique,Intégrale,19 cv,Diesel,195000.0
801,BMW Série 4 Coupé Pack Sport M,200 000 km,2015,Automatique,Propulsion,10 cv,Essence,73500.0
802,Volkswagen Polo R-Line,100 000 km,2021,Manuelle,Traction,4 cv,Essence,56000.0
803,Hyundai Kona,95 000 km,2022,Automatique,Intégrale,11 cv,Essence,81000.0
804,Ssangyong Actyon Sports,210 000 km,2017,Manuelle,Intégrale,7 cv,Diesel,45000.0
805,Chery Tiggo 8 Pro,80 000 km,2023,Automatique,Traction,11 cv,Essence,80000.0
806,Hyundai Grand i10 GLS,75 000 km,2021,Manuelle,Traction,5 cv,Essence,43500.0
807,Mercedes-Benz CLA AMG Edition 1,13 000 km,2025,Automatique,Traction,8 cv,Hybride,175000.0
808,Land Rover Range Rover Velar R-Dynamic,150 000 km,2018,Automatique,Intégrale,19 cv,Diesel,195000.0
809,BMW Série 4 Coupé Pack Sport M,200 000 km,2015,Automatique,Propulsion,10 cv,Essence,73000.0
810,Jaguar E-Pace R-Dynamic S,72 000 km,2024,Automatique,Intégrale,9 cv,Hybride,
811,Skoda Kushaq Style,4 000 km,2026,Automatique,Traction,7 cv,Essence,
812,Nissan X-trail,110 000 km,2015,Automatique,Intégrale,10 cv,Essence,75000.0
813,Toyota Agya Populaire,29 000 km,2022,Manuelle,Traction,4 cv,Essence,38500.0
814,Opel Corsa Elegance,105 000 km,2022,Manuelle,Traction,5 cv,Essence,45000.0
815,Seat Tarraco FR,265 000 km,2021,Automatique,Traction,9 cv,Essence,74000.0
816,KIA Picanto LX,70 000 km,2023,Automatique,Traction,4 cv,Essence,43500.0
817,Jeep Compass Limited,110 000 km,2018,Manuelle,Traction,7 cv,Diesel,87000.0
818,Volkswagen Golf 8 GTI,60 000 km,2022,Automatique,Traction,19 cv,Essence,
819,BMW X3 Luxury Line,68 000 km,2022,Automatique,Intégrale,10 cv,Hybride,168000.0
820,Audi A5 Sportback Advanced,117 000 km,2018,Automatique,Traction,8 cv,Essence,85000.0
821,Fiat 500,46 000 km,2023,Automatique,Traction,4 cv,Essence,51000.0
822,Volkswagen Golf 7 Smartline,45 000 km,2019,Manuelle,Traction,6 cv,Essence,73000.0
823,Volkswagen Passat R-Line DSG,100 000 km,2020,Automatique,Traction,8 cv,Essence,92000.0
824,KIA Sonet SX,11 000 km,2024,Automatique,Traction,6 cv,Essence,87000.0
825,Renault Kadjar Intens,215 000 km,2016,Manuelle,Traction,7 cv,Essence,47000.0
826,Volkswagen Golf 7 Smartline,178 000 km,2017,Manuelle,Intégrale,6 cv,Essence,58000.0
827,Hyundai i30,70 000 km,2024,Automatique,Traction,7 cv,Essence,73000.0
828,BMW X5 xLine,105 000 km,2022,Automatique,Intégrale,17 cv,Hybride,200000.0
829,Volkswagen Golf 8 Life,10 000 km,2025,Automatique,Traction,8 cv,Essence,117000.0
830,Mini Cooper 3 portes Classic,74 000 km,2013,Manuelle,Intégrale,4 cv,Essence,36000.0
831,BMW Série 5 Pack Sport M,44 000 km,2022,Automatique,Propulsion,10 cv,Essence,
832,KIA Picanto Populaire,20 000 km,2024,Manuelle,Traction,4 cv,Essence,43500.0
833,Volkswagen Polo R-Line,100 000 km,2021,Manuelle,Traction,4 cv,Essence,55000.0
834,KIA Rio 5p EX,129 000 km,2019,Manuelle,Traction,5 cv,Essence,43000.0
835,GWM Haval H6 Luxury,98 000 km,2019,Automatique,Traction,9 cv,Essence,66000.0
836,KIA Sportage,160 000 km,2019,Automatique,Traction,8 cv,Essence,66000.0
837,KIA Sportage Black Edition,136 000 km,2021,Automatique,Traction,7 cv,Hybride,83000.0
838,Mercedes-Benz Classe C AMG +,49 000 km,2024,Automatique,Intégrale,11 cv,Hybride,179000.0
839,Mercedes-Benz GLE Coupé AMG Premium Plus,90 000 km,2023,Automatique,Intégrale,11 cv,Hybride,295000.0
840,MG ZS Luxe,108 000 km,2020,Automatique,Traction,7 cv,Essence,55000.0
841,Volkswagen Golf 8 Life,59 000 km,2021,Manuelle,Traction,6 cv,Essence,80000.0
842,Mercedes-Benz GLE Coupé AMG,64 000 km,2021,Automatique,Intégrale,12 cv,Hybride,280000.0
843,Volkswagen Golf 8 R-Line,50 000 km,2023,Automatique,Traction,8 cv,Essence,130000.0
844,Peugeot 308 Active Pack,50 000 km,2022,Manuelle,Traction,6 cv,Essence,48000.0
845,Lada 4x4 Urban,90 000 km,2018,Manuelle,Intégrale,7 cv,Essence,28000.0
846,Volkswagen Tiguan R-Line,30 000 km,2024,Automatique,Traction,8 cv,Hybride,169000.0
847,Mercedes-Benz GLC Coupé AMG,42 000 km,2021,Automatique,Intégrale,12 cv,Hybride,179000.0
848,BMW Série 3 Business Line,160 000 km,2018,Automatique,Propulsion,7 cv,Essence,59000.0
849,Volkswagen T-Cross Topline,88 000 km,2023,Manuelle,Traction,5 cv,Essence,75000.0
